projectID,projectAcronym,organisationID,name,shortName,SME,activityType,city,country,nutsCode,geolocation,organizationURL,contentUpdateDate,rcn,order,role,ecContribution,netEcContribution,totalCost,endOfParticipation,active
101145790,CT-Luso,998713359,MINISTERIO DA SAUDE,MINISTRY OF HEALTH,false,PUB,Maputo,MZ,MZ,,,2026-06-19 16:45:01,2125970,2,participant,28973.75,28973.75,"28973,75",false,
101145790,CT-Luso,937196347,Ministério da Saúde e dos Assuntos Sociais,,false,PUB,São Tomé,ST,ST,"0.3384704011643938,6.731403728862704",,2026-06-19 16:45:01,1988946,20,associatedPartner,,0,0,false,
101195465,MBOTE-SK,998711419,THE UNIVERSITY OF MANITOBA,,false,HES,Manitoba,CA,CA,"55.001251,-97.001038",http://www.umanitoba.ca,2026-06-03 12:58:04,1906305,4,participant,50012.5,50012.5,"57012,5",false,
101182721,MONUGEO,920828761,UNIVERSIDADE DE MACAU,UNIVERSITY OF MACAU,false,HES,Taipa,MO,MO,"22.160224718957764,113.56382524893262",,2026-06-25 11:34:34,1989056,14,associatedPartner,,0,0,false,
101182948,RETROTRAFO,999650282,UNIVERSITI PUTRA MALAYSIA,UPM,false,HES,Selangor Darul Ehsan,MY,MY,"2.3923759,112.8471939",,2026-06-25 11:34:49,2146163,12,associatedPartner,,0,0,false,
101183057,GALATEA,999588784,POLITECHNIKA GDANSKA,GDANSK UNIVERSITY OF TECHNOLOGY,false,HES,GDANSK,PL,PL633,"54.3482259,18.6542888",http://www.pg.gda.pl,2024-08-20 15:27:20,1909285,7,participant,110400,110400,0,false,
101157560,SUS-SOIL,967838453,HELIOPOLIS UNIVERSITY ASSOCIATION,Heliopolis University for Sustainable Development,false,HES,Cairo,EG,EG,"30.3665687,31.5574957",http://www.hue.edu.eg,2026-06-25 11:35:41,2211865,22,participant,221750,221750,221750,false,
101182652,NEUTRAL4GS,908038729,UNIVERSITAS MUHAMMADIYAH PONTIANAK,UNIVERSITAS MUHAMMADIYAH PONTIANAK,false,HES,Pontianak,ID,ID,"-0.0486682,109.3437752",,2026-06-25 11:35:53,1970842,8,associatedPartner,,0,0,false,
101182752,ORCA,878691282,"Magtymguly Institute of Language, Literature and National Manuscripts",Institute of Manuscript of the Turkmen Academy of Sciences,false,PUB,Ashgabat,TM,TM,"37.94065055,58.38730548695236",,2026-06-25 11:35:52,1989301,14,associatedPartner,,0,0,false,
101182768,ADAPT4CE,996480807,JORDAN UNIVERSITY OF SCIENCE AND TECHNOLOGY,JUST,false,HES,Irbid,JO,JO,"32.5555885,35.8493104",,2026-06-25 11:36:32,2068580,12,associatedPartner,,0,0,false,
101182756,INSEAI 2023,948924908,UNIVERSIDAD NACIONAL DE ASUNCION,,false,HES,ASUNCION,PY,PY,"-25.2800459,-57.6343814",,2026-06-25 11:38:03,1955666,18,associatedPartner,,0,0,false,
101182734,EuAsiaN-ROOT,919273172,MONGOLIAN UNIVERSITY OF LIFE SCIENCES,,false,HES,Ulan Bator,MN,MN,"47.924990449999996,106.95245662351748",,2026-06-25 11:38:01,1989473,8,associatedPartner,,0,0,false,
101178624,EEETHOS,896960553,OILON TECHNOLOGY OY,,false,PRC,Lahti,FI,FI1C6,"61.1443743,25.6883648",,2026-06-17 15:02:31,1966262,9,participant,897750,897750,1282500,false,
101145734,BRIDGE NETWORK,989707976,INSTITUT REGIONAL DE SANTE PUBLIQUE COMLAN ALFRED QUENUM DE OUIDAH,IRSP-CAQ,false,HES,OUIDAH,BJ,BJ,"6.3491969,2.0879392",,2026-06-19 16:44:31,1989859,6,participant,506187.5,506187.5,"506187,5",false,
101177528,UNDERCOVER,879778264,ONGWE MINERALS (PTY) LTD,,false,PRC,Windhoek,NA,NA,"-22.5743922,17.0790688",,2026-06-25 11:39:01,1989529,7,participant,75000,75000,75000,false,
101177962,BLOOM,879192287,Universidade Federal de Catalão,Universidade Federal de Catalão,false,PUB,Catalão,BR,BR,"-10.3333333,-53.2",,2026-06-29 16:56:03,1989533,14,associatedPartner,,0,0,false,
101178444,PERMANET,965891760,CENTRE CIM FUNDACIO PRIVADA,FCIM,false,REC,Barcelona,ES,ES511,"41.3826961,2.1152162",http://www.fundaciocim.org,2026-06-25 11:39:23,2173700,6,participant,386250,386250,386250,false,
101182819,COVER,999588784,POLITECHNIKA GDANSKA,GDANSK UNIVERSITY OF TECHNOLOGY,false,HES,GDANSK,PL,PL633,"54.3482259,18.6542888",http://www.pg.gda.pl,2026-06-25 11:40:03,1909285,4,participant,27600,27600,0,false,
101145709,Ebola PREP-TBOX,892581488,FONDATION CONGOLAISE POUR LA RECHERCHE MEDICALE,,false,OTH,BRAZZAVILLE,CG,CG,"-0.7264327,15.6419155",,2026-06-19 16:44:29,1967607,7,participant,883916.66,883916.66,"883916,66",false,
101182946,GHOST,998808710,NATIONAL TAIWAN UNIVERSITY,NTU,false,HES,Taipei,TW,TW,"25.0182673,121.535927",http://www.ntu.edu.tw,2024-10-03 16:51:03,1912550,10,associatedPartner,,0,0,false,
101177536,RADAR,893910485,REGIONAL SCHOOL OF PUBLIC ADMINISTRATION,REGIONALNA SKOLA ZA DRZAVNU UPRAVU DANILOVGRAD,false,PUB,Danilovgrad,ME,ME000,"42.5499513,19.1042769",,2026-04-24 14:07:11,1989780,10,participant,163000,163000,163000,false,
101178027,ANIMA MUNDI,886375622,Linking Market Forces for European Film and Television,LMF asbl,false,OTH,Liege,BE,BE332,"50.638627400000004,5.570777935556581",,2026-06-29 16:56:09,1989895,13,participant,118942.5,118942.5,0,false,
101178736,EU-ALMPO,999588784,POLITECHNIKA GDANSKA,GDANSK UNIVERSITY OF TECHNOLOGY,false,HES,GDANSK,PL,PL633,"54.3482259,18.6542888",http://www.pg.gda.pl,2026-06-29 16:56:53,1909285,3,participant,243750,243750,243750,false,
101195102,MPOX-PROBE,892581488,FONDATION CONGOLAISE POUR LA RECHERCHE MEDICALE,,false,OTH,BRAZZAVILLE,CG,CG,"-0.7264327,15.6419155",,2026-06-03 13:00:36,1967607,2,participant,484242.5,484242.5,"484242,5",false,
101181231,WINDHY,996467906,MACQUARIE UNIVERSITY,,false,HES,Sydney,AU,AU,"-33.8548157,151.2164539",,2026-06-25 11:40:35,2945459,10,associatedPartner,,0,0,false,
101188078,FIDELIS,999588784,POLITECHNIKA GDANSKA,GDANSK UNIVERSITY OF TECHNOLOGY,false,HES,GDANSK,PL,PL633,"54.3482259,18.6542888",http://www.pg.gda.pl,2026-06-17 16:12:35,1909285,13,participant,59625,59625,0,false,
101177706,COLUMN,915917069,ANTON DE KOM UNIVERSITEIT VAN SURINAME,ADEKUS,false,HES,PARAMARIBO,SR,SR,"5.813057761780794,-55.21722411246823",,2025-05-09 11:56:07,1990139,8,participant,148135,148135,0,false,
